theme_id,name,description
1,Grunge,"Dark, edgy aesthetic with chains, safety pins, and distressed elements"
2,Nature-Inspired,"Botanical and organic designs — leaves, flowers, animals, earth tones"
3,Garden Whimsical,"Playful garden motifs: mushrooms, snails, butterflies, fairies"
4,Cottagecore,"Cozy rural aesthetic with florals, acorns, and vintage charm"
5,Fairycore,"Delicate, ethereal designs inspired by fairy tales and magic"
6,Anime-Inspired,"Japanese anime and manga aesthetics, kawaii characters"
7,K-pop Inspired,"Trendy Korean pop culture — pearls, stars, idol-inspired styles"
8,Vintage,"Classic, antique-inspired pieces with old-world elegance"
9,Minimalist,"Clean, simple, understated designs in neutral or metallic tones"
10,Gothic,"Dark romantic aesthetic — bats, skulls, crosses, velvet"
11,Celestial,"Stars, moons, sun, planets and cosmic-inspired jewelry"
12,Soft Girl,"Pastel, cute, feminine aesthetic with bows and clouds"
13,Coquette,"Flirty, feminine style with bows, lace, and romantic details"
14,Y2K,"Early 2000s revival — jelly beads, chunky chains, neon accents"
15,Floral,"All things flower-inspired — roses, daisies, cherry blossoms"
