category_id,name,description
1,Clay Jewelry,"Handcrafted polymer clay pieces — earrings, rings, pendants"
2,Metal Wire Jewelry,Intricate wire-wrapped and coiled metal jewelry
3,Beaded Jewelry,Colorful seed bead and crystal bead creations
4,Natural Stone Jewelry,Semi-precious stone and crystal jewelry
5,Resin Jewelry,"Hand-poured resin with embedded flowers, glitter, and art"
6,Charm Jewelry,"Customizable charm bracelets, necklaces, and accessories"
7,Handmade Necklaces,Statement and delicate handcrafted necklaces
8,Earrings,"All styles of handmade earrings — studs, dangles, hoops"
9,Bracelets,Handmade wrist jewelry in all materials
10,Rings,Adjustable and sized handmade rings
11,Keychains & Accessories,Decorative keychains and bag charms
