product_id,category_id,admin_id,name,description,price,stock_quantity,image_url,is_active,created_at
1,8,3,Rosette Clay Stud Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,442.64,32,https://cdn.onebloom.pk/products/p0001.jpg,0,2024-03-06 15:06:27
2,8,4,Mushroom Clay Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,640.2,40,https://cdn.onebloom.pk/products/p0002.jpg,1,2024-03-21 05:46:33
3,10,5,Daisy Clay Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,493.09,17,https://cdn.onebloom.pk/products/p0003.jpg,1,2024-07-05 15:29:27
4,7,3,Sunflower Clay Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,747.72,37,https://cdn.onebloom.pk/products/p0004.jpg,1,2023-09-09 02:17:56
5,8,4,Pastel Star Clay Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,440.16,48,https://cdn.onebloom.pk/products/p0005.jpg,1,2024-11-15 12:21:01
6,11,2,Butterfly Clay Brooch,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,548.29,20,https://cdn.onebloom.pk/products/p0006.jpg,1,2023-12-30 08:21:17
7,7,3,Moon Phase Clay Necklace,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,908.11,44,https://cdn.onebloom.pk/products/p0007.jpg,1,2024-06-13 06:05:15
8,8,5,Cherry Blossom Clay Studs,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,530.02,31,https://cdn.onebloom.pk/products/p0008.jpg,1,2024-12-08 15:41:45
9,10,1,Wire-Wrapped Crystal Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,597.25,50,https://cdn.onebloom.pk/products/p0009.jpg,1,2023-08-15 12:44:15
10,8,3,Copper Wire Leaf Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,491.86,37,https://cdn.onebloom.pk/products/p0010.jpg,1,2024-06-27 11:27:47
11,7,4,Silver Wire Moon Pendant,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,742.64,22,https://cdn.onebloom.pk/products/p0011.jpg,1,2023-09-15 07:07:46
12,10,5,Wire Coiled Statement Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,448.15,7,https://cdn.onebloom.pk/products/p0012.jpg,1,2024-12-07 05:12:13
13,9,5,Twisted Wire Bangle,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,721.58,17,https://cdn.onebloom.pk/products/p0013.jpg,1,2024-06-21 19:18:06
14,9,2,Seed Bead Friendship Bracelet,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,416.53,18,https://cdn.onebloom.pk/products/p0014.jpg,1,2023-11-06 00:45:34
15,7,1,Crystal Bead Choker,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,650.63,2,https://cdn.onebloom.pk/products/p0015.jpg,1,2024-12-15 04:40:55
16,8,1,Rainbow Bead Hoop Earrings,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,538.2,6,https://cdn.onebloom.pk/products/p0016.jpg,1,2024-04-25 15:28:21
17,10,3,Miyuki Bead Ring,Handcrafted with love. Each piece is unique and made to order. Perfect for gifting.,336.87,3,https://cdn.onebloom.pk/products/p0017.jpg,1,2024-05-04 03:52:04
